"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-05","51","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-06","57","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-07","54","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-08","53","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-09","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-10","61","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-11","61","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-12","62","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-13","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-14","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-15","71","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-16","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-17","66","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-18","67","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-19","59","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-20","64","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-21","71","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-22","68","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-23","59","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-24","61","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-25","58","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-26","59","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-27","56","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-28","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-29","64","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-30","71","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-31","76","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-01","81","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-02","85","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-03","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-04","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-05","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-06","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-07","67","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-08","57","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-09","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-10","62","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-11","70","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-12","72","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-13","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-14","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-15","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-16","62","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-17","63","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-18","63","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-19","64","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-20","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-21","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-22","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-23","62","50"
