"STATION","NAME","DATE","TMAX","TMIN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-16","68","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-17","72","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-18","80","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-19","75","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-20","71","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-21","73","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-22","74","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-23","70","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-24","67","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-25","66","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-26","69","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-27","67","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-28","65","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-29","65","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-30","67","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-31","83","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-01","85","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-02","79","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-03","76","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-04","75","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-05","74","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-06","68","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-07","69","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-08","73","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-09","70","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-10","70","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-11","78","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-12","82","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-13","73","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-14","66","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-15","66","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-16","68","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-17","60","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-18","65","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-19","69","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-20","78","52"
